tconst,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
tt0111414,movie,A Thin Life,0,2018,75,Comedy
tt0118141,movie,What Is It?,0,2005,72,Drama
tt0137204,movie,Joe Finds Grace,0,2017,83,"Adventure,Animation,Comedy"
tt0146272,movie,Shooting Vegetarians,0,2005,76,"Comedy,Drama"
tt0148403,movie,"Life, Love & Celluloid",0,2005,90,Documentary
tt0159369,movie,Cooper and Hemingway: The True Gen,0,2013,180,Documentary
tt0192528,movie,Reverse Heaven,0,2018,104,Drama
tt0195551,movie,Berlin Nights,0,2005,45,Drama
tt0196155,movie,Thousands of Miles,0,2005,\N,Drama
tt0218140,movie,Death and Taxis,0,2007,89,Drama
tt0285682,movie,Alchemy,0,2005,86,"Comedy,Romance"
tt0287072,movie,Under Surveillance,0,2006,89,"Horror,Mystery,Thriller"
tt0298903,movie,Heidi,0,2005,80,"Animation,Comedy,Family"
tt0300007,movie,The Man Who Would Be Queen,0,2007,\N,Comedy
tt0301265,movie,Dark Assassin,0,2005,82,"Action,Thriller"
tt0302189,movie,Second-Hand,0,2005,105,Drama
tt0309578,movie,Extreme Dating,0,2005,96,"Action,Comedy,Romance"
tt0311862,movie,Statistics,0,2006,\N,Drama
tt0320626,movie,Through the Looking Glass,0,2006,93,"Horror,Mystery,Thriller"
tt0321722,movie,Clon,0,2005,95,"Drama,Sci-Fi,Thriller"
tt0322332,movie,Freedom's Fury,0,2006,90,"Documentary,Sport"
tt0326716,movie,'77,0,2017,113,"Comedy,Drama"
tt0328121,movie,My Suicidal Sweetheart,0,2005,115,"Comedy,Drama"
tt0330972,movie,Intergalactic Combat,0,2007,90,"Action,Adventure,Sci-Fi"
tt0337735,movie,The Trouble with Men and Women,0,2005,80,"Drama,Romance"
tt0341569,movie,Self Medicated,0,2005,107,"Biography,Drama"
tt0342272,movie,Dear Wendy,0,2005,105,"Comedy,Crime,Drama"
tt0342504,movie,Halva sanningen,0,2005,86,Drama
tt0345228,movie,Open Window,0,2006,97,Drama
tt0353248,movie,Full Clip,0,2006,95,"Action,Thriller"
tt0354578,movie,Fighting Words,0,2007,89,"Drama,Romance"
tt0359984,movie,Silence Becomes You,0,2005,88,"Drama,Horror,Mystery"
tt0362209,movie,Susan Hero,0,2007,85,"Drama,Romance,Sci-Fi"
tt0364745,movie,Whirlygirl,0,2006,99,"Drama,Romance"
tt0368133,movie,The Promise of Perfume,0,2020,57,Documentary
tt0368709,movie,Elizabethtown,0,2005,123,"Comedy,Drama,Romance"
tt0369048,movie,Walking on the Sky,0,2005,94,Drama
tt0372122,movie,Adam & Steve,0,2005,99,"Comedy,Drama,Music"
tt0374718,movie,Home Sick,0,2007,89,Horror
tt0374826,movie,Little Chicago,0,2005,90,"Action,Drama"
tt0377309,movie,Three,0,2005,95,"Drama,Romance,Thriller"
tt0378546,movie,The Payback Man,0,2010,\N,"Crime,Drama,Thriller"
tt0378816,movie,Stripped Down,0,2006,96,"Drama,Thriller"
tt0382053,movie,The Good Humor Man,0,2005,112,"Drama,Romance"
tt0382717,movie,Life of the Party,0,2005,\N,"Comedy,Drama,Sport"
tt0384798,movie,Aimee Semple McPherson,0,2006,110,"Biography,Drama"
tt0385560,movie,Boo,0,2005,94,Horror
tt0387037,movie,Aurora Borealis,0,2005,110,"Drama,Romance"
tt0389957,movie,Edison,0,2005,99,"Action,Crime,Drama"
tt0390082,movie,Gigi 12x5,0,2005,\N,Romance
tt0390245,movie,Matti,0,2006,135,"Biography,Comedy,Drama"
tt0391229,movie,I Want Someone to Eat Cheese With,0,2006,80,"Comedy,Romance"
tt0391452,movie,The Signs of the Cross,0,2005,90,Drama
