index,totalMovies,avgBudget,worldWide,num_one,preAdRevenue
Original Screenplay,"21,363",25460842,309790502568,Avatar,309765041726
Based on Fiction Book/Short…,"3,971",39837852,142804956421,Jurassic World,142765118569
Based on Comic/Graphic Novel,556,98563352,62505364926,Avengers: Endgame,62406801574
Remake,490,47224118,30736838610,The Lion King,30689614492
Based on Real Life Events,"6,411",19004978,29416960859,Bohemian Rhapsody,29397955881
Based on TV,432,54678580,29404520380,Transformers: Dark of the Moon,29349841800
Based on Factual Book/Article,404,33170769,13621682365,Fast and Furious 6,13588511596
Based on Folk Tale/Legend/F…,231,71417458,10868339514,Frozen,10796922056
Spin-Off,83,98300000,10214871369,Minions,10116571369
Based on Game,89,60406818,6498089704,Warcraft,6437682886
Based on Play,538,13356604,5854422230,My Big Fat Greek Wedding,5841065626
Based on Theme Park Ride,9,197714286,4690591692,Pirates of the Caribbean: Dead Man’…,4492877406
Based on Toy,108,72166667,2847765738,The Lego Movie,2775599071
Based on Musical or Opera,161,34935000,2637011353,Mamma Mia!,2602076353
Based on Religious Text,60,27450000,2165421445,The Passion of the Christ,2137971445
Based on Short Film,75,27616896,1696191778,Pixels,1668574882
Based on Movie,75,22921429,745754394,Aliens vs. Predator - Requiem,722832965
Compilation,218,22656000,384508940,Fantasia,361852940
Based on Song,8,18500000,326055775,Last Christmas,307555775
Based on Web Series,24,10125000,186498962,Along With The Gods: The Two Worlds,176373962
Based on Musical Group,45,17666667,96368284,Spice World,78701617
Based on Ballet,53,38750000,34363565,The Nutcracker in 3D,-4386435
