primaryName,originalTitle,birthYear,deathYear,primaryProfession
Frank Howson,A Thin Life,1952,0,writer
Steven C. Stewart,What Is It?,1937,2001,writer
Keith Spiegel,The Junior Defenders,1972,0,director
Keith Spiegel,The Junior Defenders,1972,0,writer
Bill Simmon,The Junior Defenders,1969,0,director
Ahmed Best,Star Wars: Episode III - Revenge of the Sith,1973,0,director
Graeme Blundell,Star Wars: Episode III - Revenge of the Sith,1945,0,director
Graeme Blundell,Star Wars: Episode III - Revenge of the Sith,1945,0,writer
Rob Coleman,Star Wars: Episode III - Revenge of the Sith,1964,0,director
Katie Lucas,Star Wars: Episode III - Revenge of the Sith,1988,0,writer
Jay Laga'aia,Star Wars: Episode III - Revenge of the Sith,1963,0,writer
Iain McCaig,Star Wars: Episode III - Revenge of the Sith,1957,0,director
Temuera Morrison,Star Wars: Episode III - Revenge of the Sith,1960,0,director
Christian Simpson,Star Wars: Episode III - Revenge of the Sith,1973,0,writer
Amanda Lucas,Star Wars: Episode III - Revenge of the Sith,1981,0,writer
Bill Young,Star Wars: Episode III - Revenge of the Sith,1950,0,writer
Bill Young,Star Wars: Episode III - Revenge of the Sith,1950,0,director
Kyle Rowling,Star Wars: Episode III - Revenge of the Sith,1970,0,director
Anthony Harrison,Joe Finds Grace,1961,0,writer
Viktor Oszkar Nagy,Apaföld,1980,0,director
Viktor Oszkar Nagy,Apaföld,1980,0,writer
Adam Seth Nelson,Shooting Vegetarians,1969,0,writer
Juliane Lorenz,"Life, Love & Celluloid",1957,0,writer
Byron Janis,Cooper and Hemingway: The True Gen,1928,0,writer
Paul Meyer,Reverse Heaven,1970,0,director
Furat al Jamil,Berlin Nights,1965,0,writer
Derek Lebrero,Thousands of Miles,1971,0,director
John Roecker,Live Freaky Die Freaky,1966,0,director
John Roecker,Live Freaky Die Freaky,1966,0,writer
Fisher Stevens,Awake,1963,0,director
Jason Kliot,Awake,1963,0,director
Georgina Chapman,Awake,1976,0,director
Donny Deutsch,Awake,1957,0,writer
Mirko Borscht,Berlin Calling,1971,0,director
Andreas Doub,Berlin Calling,1968,0,director
Rita Lengyel,Berlin Calling,1973,0,director
Rita Lengyel,Berlin Calling,1973,0,writer
Hannes Stöhr,Berlin Calling,1970,0,director
Hannes Stöhr,Berlin Calling,1970,0,writer
Yan St-Pierre,Berlin Calling,1977,0,director
